"year","species","tons_total","tons_total_art","tons_total_ind"
2014,"SARDINA COMUN",468071,468071,NA
2014,"ANCHOVETA",230913,230913,NA
2014,"CHASCON O HUIRO NEGRO",219998,219998,NA
2014,"JIBIA O CALAMAR ROJO",125396,125396,NA
2014,"HUIRO PALO",60531,60531,NA
2014,"BACALADILLO O MOTE",48339,48339,NA
2014,"LUGA NEGRA O CRESPA",34693,34693,NA
2014,"REINETA",33095,33059,36
2014,"ERIZO",32343,32343,NA
2014,"PELILLO",32336,32336,NA
2015,"SARDINA COMUN",793337,714948,78389
2015,"ANCHOVETA",732659,385128,347531
2015,"JUREL",321281,65064,256217
2015,"JIBIA O CALAMAR ROJO",247917,208484,39433
2015,"CHASCON O HUIRO NEGRO",230622,230622,NA
2015,"HUIRO PALO",144142,144142,NA
2015,"PELILLO",90614,90614,NA
2015,"LUGA NEGRA O CRESPA",82154,82154,NA
2015,"CABALLA",71193,51012,20181
2015,"REINETA",63929,59422,4507
2016,"ANCHOVETA",337436,179982,157454
2016,"JUREL",323257,33116,290141
2016,"SARDINA COMUN",280421,196044,84377
2016,"JIBIA O CALAMAR ROJO",180914,141576,39338
2016,"CHASCON O HUIRO NEGRO",155740,155740,NA
2016,"CABALLA",58583,26285,32298
2016,"HUIRO PALO",49802,49802,NA
2016,"HUIRO",31875,31875,NA
2016,"LUGA NEGRA O CRESPA",30694,30694,NA
2016,"ERIZO",29086,29086,NA
2017,"ANCHOVETA",625697,234268,391429
2017,"JUREL",355262,29413,325849
2017,"SARDINA COMUN",344262,321589,22673
2017,"HUIRO NEGRO O CHASCON",211257,211257,NA
2017,"JIBIA O CALAMAR ROJO",152537,113405,39132
2017,"HUIRO PALO",71771,71771,NA
2017,"CABALLA",66407,22013,44394
2017,"BACALADILLO O MOTE",61192,59982,1210
2017,"PELILLO",47584,47584,NA
2017,"MACHUELO O TRITRE",29954,29954,NA
