Product,year,tons,value
Frozen,2016,607349,2899433
Fresh,2016,201918,1644102
Fish meal,2016,191640,327109
Dried algae,2016,75917,107898
Oil,2016,70767,111245
Canned,2016,18626,92374
Smoked,2016,2930,48489
Carrageenans,2016,4956,58913
Agar-Agar,2016,1561,39029
Salted,2016,2617,17836
Natural polymer,2016,919,17533
Alive,2016,86,4812
Alginate,2016,281,4262
Alginic acid,2016,116,1767
Dried,2016,15,1128
Alginate,2016,4,127
Alginate,2016,11,199
Dried and salted,2016,0.1,0.2
Colagar,2016,0,0
Frozen,2017,627378,3550259
Fresh,2017,205940,1870175
Fish meal,2017,207984,322460
Dried algae,2017,80889,130380
Oil,2017,62511,101566
Canned,2017,20790,98305
Smoked,2017,3059,59955
Carrageenans,2017,5057,57806
Agar-Agar,2017,1570,37247
Salted,2017,2961,22650
Natural polymer,2017,1042,18855
Alive,2017,63,3339
Alginate,2017,224,3309
Alginic acid,2017,140,2189
Dried,2017,19,1092
Alginate,2017,13,318
Alginate,2017,14,243
Dried and salted,2017,4,51
Colagar,2017,0,0
Frozen,2014,689485,3517746
Fresh,2014,199245,1554443
Fish meal,2014,257674,426465
Oil,2014,86722,158956
Dried algae,2014,74837,142590
Canned,2014,17642,108323
Carrageenans,2014,4811,72474
Smoked,2014,4698,88043
Agar-Agar,2014,1780,48754
Salted,2014,2334,16563
Natural polymer,2014,1021,18955
Alginate,2014,265,4000
Alive,2014,75,3755
Dried,2014,27,1902
Alginic acid,2014,43,560
Alginate,2014,50,776
Alginate,2014,12,291
Dried and salted,2014,0.6,8.7
Colagar,2014,33,261
Frozen,2015,644589,2807923
Fresh,2015,215736,1365850
Fish meal,2015,193607,357444
Oil,2015,81223,142327
Dried algae,2015,68159,100725
Canned,2015,18232,100707
Carrageenans,2015,5236,73196
Smoked,2015,3765,60733
Agar-Agar,2015,1825,48790
Salted,2015,3740,19590
Natural polymer,2015,976,17911
Alginate,2015,321,4891
Alive,2015,72,4233
Dried,2015,10,942
Alginic acid,2015,59,820
Alginate,2015,19,354
Alginate,2015,3,74
Dried and salted,2015,2.5,46
Colagar,2015,0,0
